"","X","X0","X1"
"13",838,1009,"Love Jokes And Riddles"
"21",2083,2475,"Had A Dream"
"22",2115,2510,"Am The Other Woman"
"18",1547,1843,"Am Single"
"3",131,165,"Am a Lesbian"
"42",128311,154884,"Have a Confession"
"36",37020,43748,"Will Answer Any Question You Dare Ask"
"9",657,809,"Write Poetry"
"5",263,332,"Live In a Sexless Marriage"
"20",1969,2334,"Have Anxiety"
"33",20228,23323,"Am a Curious Person"
"44",160009,193494,"Have Random Thoughts"
"14",1056,1261,"Love Movies"
"38",62294,76430,"Am Fascinated By Human Behavior"
"23",2137,2534,"Think Too Much"
"10",730,887,"Want to Make Friends"
"2",89,109,"Battle Depression"
"25",3833,4603,"Need Someone to Talk to"
"16",1185,1431,"Love Music"
"8",619,763,"Am Bored"
"45",192335,233190,"Love a Good Quote"
"29",7352,8726,"Like a Good Quote"
"41",122348,147547,"Want You to Write a Ten Word Story"
"4",179,233,"Am Lonely"
"15",1104,1340,"Am Depressed"
"19",1782,2108,"Believe In God"
"31",13303,15349,"Had An Affair"
"32",14780,17036,"Love These Lyrics"
"37",43042,51387,"Love This Song"
"17",1442,1728,"Like to Take Pictures"
"30",9797,11525,"Am Christian"
"35",36284,42844,"Am a Military Girlfriend"
"1",48,68,"Loved Someone That Didn't Love Me"
"7",520,649,"Have a Weird Sense of Humor"
"43",137716,166260,"Cut My Self"
"48",538033,646363,"Want To Know If You Think Im Attractive Lol"
"24",3767,4527,"Express Myself Through Writing"
"40",97330,117528,"Am a New Member At Experience Project"
"34",22048,25529,"Fight Depression and Loneliness Everyday"
"12",813,984,"Want to Lose Weight"
"28",6789,8083,"Love Photography"
"11",782,950,"Am An Atheist"
"27",4665,5577,"Am Bi"
"49",680381,828259,"Will Answer Anything You Ask"
"39",85306,102852,"Love Quotes"
"50",793042,974071,"Have A Kik-Messenger App"
"26",4501,5382,"Am a Gamer"
"6",266,335,"Am Gay"
"46",300132,364326,"Suffered Through Workplace Mobbing"
"47",350680,426065,"Like Writing Limericks"
