"","x"
"V1",287
"V2",702
"V3",519
"V4",664
"V5",347
"V6",1709
"V7",601
"V8",450
"V9",463
"V10",450
"V11",429
"V12",1009
"V13",364
"V14",354
"V15",406
"V16",574
"V17",1343
"V18",1334
"V19",1634
"V20",562
"V21",323
"V22",677
"V23",245
"V24",1454
"V25",524
"V26",426
"V27",164
"V28",621
"V29",304
"V30",216
"V31",258
"V32",310
"V33",447
"V34",372
"V35",306
"V36",589
"V37",184
"V38",3665
"V39",403
"V40",526
"V41",305
"V42",304
"V43",352
"V44",460
"V45",356
"V46",431
"V47",348
"V48",535
"V49",11
"V50",3
