"","Jokes.Riddles","Dream","The.other.woman","Single","Lesbian","Confession","Answer.any.question","Poetry","Sexless.marriage","Anxiety","Curious","Random.Thoughts","Movies","Human.Behavior","Think.too.much","Make.friends","Depression","Need.talk","Music","Bored","Good.quote","Good.quote.1","Ten.word.story","Lonely","Depressed","God","Affair","Lyrics","Song","Pictures","Christian","Military.girlfriend","Love.didn.t.love.me","Weird.humor","Cut.myself","Am.I.attractive","Writing","New.member","Depression.loneliness","Lose.weight","Photography","Atheist","Bi","Anything.you.ask","Quotes","Kik.messenger","Gamer","Gay","Workplace.mobbing","Limericks"
"V1",1,-0.0697094158080417,-0.0134205312268342,-0.0445549841047953,-0.10433909486677,-0.0749272131834636,-0.0153423875501869,0.0375577271634565,-0.0181190123664003,-0.0363664769307973,0.128540198776666,0.188583932724257,0.118940089332461,0.175187843759135,0.09198696016534,-0.0658678875327121,-0.105147376479964,-0.0917809272553734,0.0963271400050091,-0.0421381555005204,0.231660469655541,0.245973708799738,0.237601164921486,-0.0709225480995978,-0.0548206731837332,0.059277007529796,-0.0912921386912002,0.0666335284922217,0.118029085338172,0.0973573184865996,-0.0720064435736599,-1,-0.131966227751066,0.177204117350492,-0.0162278865447691,0.00242631883376919,0.170371106386001,-0.124039850727642,-0.182482433011201,-0.0552824433561963,0.11758894214934,0.0887476685688938,-0.105899884425117,0.00182929045311429,0.192407025539412,0.0273946288585071,0.147616670150902,-0.151571907229665,-1,-1
"V2",-0.0697094158080417,1,-0.245841635769458,-0.0860932018662302,-0.258029514490955,0.0846831244810514,-0.144988118273367,-0.0432579374992227,-0.233385248641844,-0.0432579374992227,-0.0262075745972038,-0.096449880144682,-0.0144970020030127,-0.0622782502628022,0.0101001455050111,-0.196034221037156,-0.158710507553457,-0.150494406537066,-0.0853590590029583,-0.136509665553129,-0.0359025010925402,-0.0793982984229594,-0.0710898095147364,-0.125113912943057,-0.0346934290631429,-0.0860759894376903,-0.0481803416389717,-0.0498683562438074,0.00992897896025256,-0.150204137543686,-0.169588679458193,-0.24659332984717,-0.229548463635599,-0.172925351176547,-0.150631516545504,-0.177415307560241,-0.0617610805626836,-0.262612452635327,-0.182061955998865,-0.0995472046559178,-0.0772494775725271,-0.0588594867963122,-0.0950144771118576,-0.147451114378333,-0.0964151011396894,-0.162218337490467,-0.0759413212877138,-0.30194166760469,-1,-1
"V3",-0.0134205312268342,-0.245841635769458,1,0.0363757550854973,-0.0766701684253087,-0.183254560228167,-0.19320595978668,-0.108176587161812,0.122849607033598,-0.197327600264675,-0.0820980117006587,-0.0601203330580202,-0.135968155080989,-0.0790910810363887,-0.026332126819532,-1,-0.208429750093102,-0.222721278912878,-0.15960163250202,-0.221574947247799,-0.067982425722672,-0.15768347022179,-0.0344794450070891,-0.143436936036064,-0.149631747391093,-0.153921761403461,0.397240471862091,-0.0817974307899394,-0.115407361389205,-0.179314199163989,-0.0966795398570326,0.134314595790487,0.0880369317015994,-0.109197587442368,-1,-0.163432617784213,-0.058095261283159,-0.233622930701402,-1,-0.107365308459695,-0.0857604877673232,-0.08537289388808,-0.170531506195339,-0.0730341492647993,-0.171764257496522,-0.192621196825369,-0.227687340314603,-1,-1,-1
"V4",-0.0445549841047953,-0.0860932018662302,0.0363757550854973,1,-0.0863429530031963,-0.114977614376861,-0.0551985283502673,0.00343367675280107,-0.164102882168239,-0.00562213296249554,0.102716167724545,0.0738057657571259,0.128024792756728,0.0860989684434982,0.0797298807526064,0.0342206381791972,0.0185467504131076,0.0357803139752388,0.0700397423190755,0.0877717483975728,0.00925456625980675,0.0268919268012562,0.00743386123936334,0.0841563582465494,0.0541717114243256,0.141827043186715,0.145867135938481,0.0618432296223941,0.0679154205150325,0.107003837569336,0.0511331780332788,0.0738698379639047,0.0844482052406215,0.0787710663346373,0.0165863434531008,0.161803500150149,0.0729023086021346,-0.0723865581031798,0.0596614706651733,0.0596528724086605,0.0762031351430808,0.115925676006036,0.0556375731894942,-0.00869557970588539,0.054016147860758,0.0346100988606442,0.146729156957555,-0.0298164749899891,-1,-1
"V5",-0.10433909486677,-0.258029514490955,-0.0766701684253087,-0.0863429530031963,1,-0.110059950840314,-0.0559477806969188,-0.0593781529225115,-1,-0.0841502754213816,-0.0321967587398158,-0.0799530435977549,-0.0336693142682772,-0.0868353324293329,-0.102479840202799,-0.0501391844070936,-0.0766811085819122,-0.129046802668641,-0.0715270287681105,-0.00250997999540476,-0.117231138001411,-0.108885035982489,-0.151259467223623,-0.0704892725324713,-0.0386222481037643,-0.107968716051256,-0.110547365447892,-0.150989635128671,-0.037859610312125,-0.0733332184112197,-1,-0.175126749686676,-0.0585673504099267,-0.0363045163931692,0.0293522018844219,-0.0371518295318145,-0.0558402635051877,-0.147243898207621,-0.141372657476111,-0.0574640554988519,0.0100895147085141,-0.110617153667655,0.0290186162309834,-0.0221608303372838,-0.127843952478366,-0.109300663761251,-0.125364360984735,-0.133974444589468,-1,-1
"V6",-0.0749272131834636,0.0846831244810514,-0.183254560228167,-0.114977614376861,-0.110059950840314,1,-0.115069658323017,-0.0452827498997804,-0.187850947561644,-0.122461720354414,-0.0429068536325406,0.00591272944328365,-0.0282940587134226,-0.00306585422745441,-0.0934662109157194,-0.157101586374856,-0.165077671642248,-0.217657940021168,-0.0939882223382643,-0.0944709637496713,-0.00457128524999223,-0.0223754519506662,0.0320242813592215,-0.154911048105731,-0.083804271908261,-0.0576763876974225,-0.217224623367881,-0.0310214484379419,-0.0124301517275676,-0.113142038849961,-0.051471190431444,-0.228333740103969,-0.194428819627714,-0.0428298559995329,-0.157912498666657,-0.134750763719003,-0.00377275384415206,-0.288278150621491,-0.180904758169731,-0.112089545815803,-0.0594540238790303,-0.0917368066342348,-0.0800195858326169,-0.149103335114191,-0.0420980242932796,-0.158059750393694,-0.0783796295275762,-0.206978330861194,-1,0.133579650279537
"V7",-0.0153423875501869,-0.144988118273367,-0.19320595978668,-0.0551985283502673,-0.0559477806969188,-0.115069658323017,1,-0.00131724430645465,-0.180173060257333,-0.0457850008763687,0.0575438761498845,0.0247876951293804,-0.0312253029646285,0.0214319908677694,-0.0934506144356087,-0.0257158392511512,-0.0902003784863988,-0.0329859591834016,-0.0290102560605325,0.0706874802239597,-0.139071745496456,-0.0239090801378142,-0.0522605309266059,-0.102011065246153,-0.0659319323452392,-0.0147610258771319,-1,-0.011519727690318,0.00611866560170034,0.036886425903889,-0.0585274883951844,-0.13438259926168,-0.21260145146699,0.0250467454035527,-0.0235820100944988,0.0748598476175819,-0.115764170469044,-0.105450436701767,-0.201296564439968,-0.0433549167260761,0.0185304830646058,0.0309936281339015,0.0111134866492015,0.118818062967491,-0.097555067487111,0.0568662127668247,-0.0401141619028665,-0.0814876855228444,-1,-1
"V8",0.0375577271634565,-0.0432579374992227,-0.108176587161812,0.00343367675280104,-0.0593781529225115,-0.0452827498997804,-0.00131724430645465,1,-0.0738691871083793,-0.0703390453517406,-0.0461902097875107,0.12532424661222,0.0458045501371988,0.061099451553761,0.0423100165191419,-0.0397022394498742,0.00689529903684933,-0.0461669160876478,0.0511988299786322,-0.013095140940795,0.132586448631985,0.149299194734826,0.213557151793002,-0.0415002156877584,0.0543710980402701,-0.0289172008773157,-0.136910644562421,0.128120881306807,0.0444088929879886,-0.0282022653697623,0.0514603554852761,-0.101354576018178,0.0396837861505998,0.0651213510609684,0.0136099652499325,0.0683550872067878,0.264135783880283,-0.176846344249863,0.0199675587381305,-0.0041180137595135,0.122818230006284,0.0819744757519202,-0.0611122958569213,-0.0104033099975459,0.157628371036335,-0.0649917366647105,-0.0384773004075034,-0.135247051888676,-1,-1
"V9",-0.0181190123664003,-0.233385248641844,0.122849607033598,-0.164102882168239,-1,-0.187850947561644,-0.180173060257333,-0.0738691871083793,1,-0.18487121313706,-0.237330809624528,-0.0362595321843507,-1,-0.119755478252191,-0.106044325705031,-0.17492624926945,-0.155958345276518,-0.271186990711721,-0.171462089970864,-1,-0.0139251558413253,-0.0533719905751414,0.0956279652857333,-0.190374883370862,-0.201480638028015,-0.178891780908414,0.122310971333475,-0.133377895146128,-0.102374461859857,-0.0315634760888219,-0.0269065125237442,-0.144213334793216,-0.117398705698219,-0.164104129724564,-1,-0.107234926529809,-0.0126394789378888,-0.298590030970932,-0.230989535971073,-0.164958031971098,-0.0256590741308856,-0.0718974898880034,-1,-0.149653855005536,-0.0905335575715246,-0.237802565555851,-1,-1,-1,-1
"V10",-0.0363664769307973,-0.0432579374992227,-0.197327600264675,-0.00562213296249555,-0.0841502754213816,-0.122461720354414,-0.0457850008763687,-0.0703390453517406,-0.18487121313706,1,0.0235242602324491,0.0416010975357796,0.0882587006575194,-0.0051194617024276,0.0909821023691583,0.0147453942117898,0.197857710478279,0.0393765788006926,-0.00179586314364689,0.0358292231351566,-0.0292365171909471,-0.00833343425894104,0.00502361311225226,0.0254169485982206,0.131828987390084,-0.0289172008773157,-0.136910644562421,0.0997231919586603,0.0930798114450417,0.0896336309565066,0.0180678374877958,-0.0241444874758646,0.0291209367236818,0.0851909779403687,0.0568711197794729,0.053519436224775,0.0405143999863587,-0.131631577821493,0.0831623284697555,0.148659698520909,0.043974301188763,0.0300472714767212,-0.0398939319135775,-0.0550068860280445,-0.00584361835494241,0.0109649967410531,-0.0384773004075034,-0.135247051888676,-1,-1
